101_02,10:45.0,21:50.0
101_03,12:50.0,19:40.0
101_04,04:40.0,11:20.0
101_05,02:05.0,08:30.0
102_02,28:00.0,35:53.0
102_03,33:50.0,42:30.0
102_04,47:15.0,54:46.0
102_05,30:25.0,39:13.0
103_02,07:40.0,15:16.0
103_03,01:20.0,09:13.0
103_04,02:50.0,10:52.0
103_05,08:05.0,16:30.0
104_02,00:55.0,08:22.0
104_03,04:22.0,11:10.0
104_04,05:10.0,11:45.0
104_05,06:00.0,12:30.0
105_02,07:05.0,14:20.0
105_03,04:20.0,11:20.0
106_02,18:30.0,26:10.0
106_03,07:35.0,13:50.0
106_04,29:50.0,36:20.0
106_05,03:20.0,11:05.0
107_02,00:00.0,07:40.0
107_03,48:35.0,56:50.0
107_05,46:25.0,53:50.0
110_02,01:40.0,08:15.0
110_03,13:20.0,20:45.0
110_04,20:25.0,27:05.0
110_05,10:35.0,16:45.0
