101_02,11:45.0,21:50.0
101_03,13:50.0,19:40.0
101_04,05:40.0,11:20.0
101_05,03:05.0,08:30.0
101_06,04:10.0,09:40.0
102_02,29:00.0,35:53.0
102_03,34:50.0,42:30.0
102_04,47:15.0,54:46.0
102_05,31:25.0,39:13.0
102_06,33:30.0,39:30.0
102_07,28:00.0,34:45.0
103_02,08:40.0,15:16.0
103_03,02:20.0,09:13.0
103_04,03:50.0,10:52.0
103_05,09:05.0,16:30.0
103_06,08:05.0,16:10.0
104_02,01:55.0,08:22.0
104_03,05:22.0,11:10.0
104_04,06:10.0,11:45.0
104_05,07:00.0,12:30.0
104_06,59:50.0,05:15.0
105_02,08:05.0,14:20.0
105_03,05:20.0,11:20.0
105_04,10:10.0,16:05.0
105_05,14:30.0,19:50.0
105_06,58:55.0,04:25.0
106_02,19:30.0,26:10.0
106_03,08:35.0,13:50.0
106_04,30:50.0,36:20.0
106_05,04:20.0,11:05.0
106_06,04:35.0,09:55.0
107_02,01:00.0,07:40.0
107_03,49:35.0,56:50.0
107_04,13:30.0,19:55.0
107_05,47:25.0,53:50.0
107_06,58:30.0,05:20.0
110_02,02:40.0,08:15.0
110_03,14:20.0,20:45.0
110_04,21:25.0,27:05.0
110_05,11:35.0,16:45.0
110_06,30:20.0,36:15.0
